# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
a li 	阿里	c=0 d=1.47077e-69 t=42928
a li wang wang 	阿里旺旺	c=1 d=1.47814e-68 t=42928
a li yun 	阿里雲	c=14 d=1.11903 t=42928
a mei xiang dao 	啊沒想到	c=1 d=5.92626e-81 t=42928
ai 	唉	c=2 d=0.937461 t=42928
an 	按	c=58 d=0.0271883 t=42928
an jiu 	暗九	c=1 d=2.6157e-18 t=42928
an niu 	按鈕	c=7 d=8.21243e-18 t=42928
an pai 	安排	c=14 d=3.05954e-09 t=42928
an quan 	安全	c=11 d=4.69196e-10 t=42928
an se 	安塞	c=1 d=1.76083e-68 t=42928
an se 	暗色	c=1 d=1.42512e-51 t=42928
an se mo shi 	暗色模式	c=1 d=1.43226e-50 t=42928
an tian 	按天	c=1 d=1 t=41431
an xin 	安心	c=0 d=1.20999e-67 t=42928
an xin yang bing 	安心養病	c=1 d=1.21606e-66 t=42928
an zhao 	按照	c=6 d=0.000133688 t=42928
an zhuang 	安裝	c=18 d=4.95173e-08 t=42928
an zhuang bao 	安裝包	c=1 d=1.47467e-11 t=42928
ao chu lai 	熬出來	c=1 d=2.30599e-06 t=42928
ao di 	奧迪	c=1 d=1.63811e-71 t=42928
ao mi 	奧祕	c=1 d=7.77931e-76 t=42928
ao ye 	熬夜	c=1 d=3.84943e-05 t=42928
ba 	吧	c=261 d=1.80158 t=42928
ba 	把	c=163 d=0.947397 t=42928
ba ba 	爸爸	c=1 d=1.73344e-60 t=42928
ba le 	拔了	c=1 d=1.93302e-48 t=42928
ba ni 	把你	c=2 d=6.29935e-64 t=42928
ba ta 	把他	c=2 d=5.5726e-63 t=42928
ba ta 	把它	c=1 d=1.40749e-80 t=42928
ba wo 	把握	c=2 d=0.683861 t=42928
bai 	白	c=1 d=4.86638e-58 t=42928
bai da 	白搭	c=1 d=8.43754e-61 t=42928
bai jiu 	白酒	c=1 d=2.13117e-49 t=42928
bai ming 	百名	c=0 d=4.79393e-58 t=42928
bai ming dan 	白名單	c=1 d=4.89077e-57 t=42928
bai ming dan 	百名但	c=1 d=4.81796e-57 t=42928
bai shi 	百事	c=1 d=6.53971e-34 t=42928
bai tiao 	白條	c=1 d=2.26758e-73 t=42928
ban 	半	c=0 d=9.57789e-24 t=42928
ban 	版	c=1 d=6.98317e-84 t=42928
ban 	班	c=6 d=0.000413853 t=42928
ban 	辦	c=15 d=8.96139e-05 t=42928
ban bao 	板報	c=1 d=2.37849e-76 t=42928
ban ben 	版本	c=19 d=1.90473 t=42928
ban ben de 	版本的	c=1 d=1.15683e-08 t=42928
ban bu 	辦不	c=1 d=7.46538e-62 t=42928
ban fa 	辦法	c=3 d=6.81146e-13 t=42928
ban ge 	半個	c=0 d=0.1 t=41540
ban ge duo yue 	半個多月	c=1 d=1 t=41541
ban ge ren 	半個人	c=1 d=3.26502e-09 t=42928
ban gong 	辦公	c=0 d=2.94308e-24 t=42928
ban gong zhong xin 	辦公中心	c=1 d=2.95783e-23 t=42928
ban kuai 	板塊	c=1 d=2.8561e-23 t=42928
ban li 	辦理	c=3 d=1.46066e-22 t=42928
ban nian 	半年	c=5 d=7.58992e-19 t=42928
ban shi 	辦事	c=1 d=1.16083e-23 t=42928
ban shi dian 	辦事點	c=1 d=3.31832e-23 t=42928
ban sui 	伴隨	c=1 d=9.16609e-06 t=42928
ban tian 	半天	c=1 d=0.588605 t=42928
ban wan 	辦完	c=1 d=9.15644e-24 t=42928
ban wan shi er 	辦完事兒	c=1 d=9.20233e-23 t=42928
ban wei 	班委	c=1 d=4.00069e-76 t=42928
ban ye 	半夜	c=1 d=8.02629e-32 t=42928
bang 	膀	c=1 d=1.04454e-42 t=42928
bang ding 	綁定	c=2 d=2.00958e-05 t=42928
bang mang 	幫忙	c=16 d=1.2 t=42928
bang ni 	幫你	c=8 d=1.89795e-19 t=42928
bang wo 	幫我	c=10 d=3.57798e-06 t=42928
